shot_id,section,tc_est,hold_seconds_est,prompt,negative_prompt,aspect_ratio,seed_group,notes,status,output_url
01,1 Cold open,0:00,40,"a wide gravel plain under a hazy white sky, a low bare granite mountain at the far edge, heat shimmer, completely empty, extreme wide, early afternoon, no people at all, cinematic still, anamorphic 35mm, shallow depth of field, warm low-angle desert light, airborne dust catching the sun, muted earth palette of ochre sand bone and oxidised brass with deep indigo shadow, soft natural film grain, high dynamic range, restrained painterly photographic realism, historically grounded 7th-century Hijaz, no text, no arabic script, no calligraphy, no lettering, no watermark","text, letters, arabic script, calligraphy, pseudo-arabic, numerals, signage, watermark, logo, human face, portrait, figure in foreground, prophet, religious figure, halo, glowing person, statue, idol, crucifix, modern clothing, wristwatch, plastic, eyeglasses, power lines, vehicles, anachronistic architecture, extra fingers, deformed hands, cartoon, anime, neon, oversaturated, HDR halo, lens flare, crowd, tents, people",16:9,plain,Matched pair with 48 — same seed,,
02,1 Cold open,0:10,45,"very high aerial of an immense anonymous crowd on a gravel plain, figures reduced to a texture of white and earth-toned cloth, no individual person discernible, dust haze, bare granite hill at the far edge, cinematic still, anamorphic 35mm, shallow depth of field, warm low-angle desert light, airborne dust catching the sun, muted earth palette of ochre sand bone and oxidised brass with deep indigo shadow, soft natural film grain, high dynamic range, restrained painterly photographic realism, historically grounded 7th-century Hijaz, no text, no arabic script, no calligraphy, no lettering, no watermark","text, letters, arabic script, calligraphy, pseudo-arabic, numerals, signage, watermark, logo, human face, portrait, figure in foreground, prophet, religious figure, halo, glowing person, statue, idol, crucifix, modern clothing, wristwatch, plastic, eyeglasses, power lines, vehicles, anachronistic architecture, extra fingers, deformed hands, cartoon, anime, neon, oversaturated, HDR halo, lens flare, modern hajj, white ihram towels, modern tents, air-conditioned tent city, jamarat bridge, skyscrapers, clock tower, paved roads, crowd barriers",16:9,,HIGHEST DRIFT RISK. Push altitude until no face resolves at 100% zoom. Regenerate rather than crop.,,
03,1 Cold open,0:20,35,"ground-level macro of sunlit gravel and cracked dry earth, a few scattered pebbles, extreme shallow focus, cinematic still, anamorphic 35mm, shallow depth of field, warm low-angle desert light, airborne dust catching the sun, muted earth palette of ochre sand bone and oxidised brass with deep indigo shadow, soft natural film grain, high dynamic range, restrained painterly photographic realism, historically grounded 7th-century Hijaz, no text, no arabic script, no calligraphy, no lettering, no watermark","text, letters, arabic script, calligraphy, pseudo-arabic, numerals, signage, watermark, logo, human face, portrait, figure in foreground, prophet, religious figure, halo, glowing person, statue, idol, crucifix, modern clothing, wristwatch, plastic, eyeglasses, power lines, vehicles, anachronistic architecture, extra fingers, deformed hands, cartoon, anime, neon, oversaturated, HDR halo, lens flare",16:9,,,,
04,1 Cold open,0:30,40,"a bare granite mountain face at the edge of a plain, harsh midday light, deep shadow in the fissures, no people, cinematic still, anamorphic 35mm, shallow depth of field, warm low-angle desert light, airborne dust catching the sun, muted earth palette of ochre sand bone and oxidised brass with deep indigo shadow, soft natural film grain, high dynamic range, restrained painterly photographic realism, historically grounded 7th-century Hijaz, no text, no arabic script, no calligraphy, no lettering, no watermark","text, letters, arabic script, calligraphy, pseudo-arabic, numerals, signage, watermark, logo, human face, portrait, figure in foreground, prophet, religious figure, halo, glowing person, statue, idol, crucifix, modern clothing, wristwatch, plastic, eyeglasses, power lines, vehicles, anachronistic architecture, extra fingers, deformed hands, cartoon, anime, neon, oversaturated, HDR halo, lens flare",16:9,,,,
05,1 Cold open,0:42,35,"a single worn goat-hair tent rope staked into gravel, taut, trembling in wind, low sun behind it, cinematic still, anamorphic 35mm, shallow depth of field, warm low-angle desert light, airborne dust catching the sun, muted earth palette of ochre sand bone and oxidised brass with deep indigo shadow, soft natural film grain, high dynamic range, restrained painterly photographic realism, historically grounded 7th-century Hijaz, no text, no arabic script, no calligraphy, no lettering, no watermark","text, letters, arabic script, calligraphy, pseudo-arabic, numerals, signage, watermark, logo, human face, portrait, figure in foreground, prophet, religious figure, halo, glowing person, statue, idol, crucifix, modern clothing, wristwatch, plastic, eyeglasses, power lines, vehicles, anachronistic architecture, extra fingers, deformed hands, cartoon, anime, neon, oversaturated, HDR halo, lens flare",16:9,,,,
06,1 Cold open,0:50,40,"aerial at dusk of a wide valley emptying of people, long shadows, scattered small cooking fires beginning, no resolvable figures, cinematic still, anamorphic 35mm, shallow depth of field, warm low-angle desert light, airborne dust catching the sun, muted earth palette of ochre sand bone and oxidised brass with deep indigo shadow, soft natural film grain, high dynamic range, restrained painterly photographic realism, historically grounded 7th-century Hijaz, no text, no arabic script, no calligraphy, no lettering, no watermark","text, letters, arabic script, calligraphy, pseudo-arabic, numerals, signage, watermark, logo, human face, portrait, figure in foreground, prophet, religious figure, halo, glowing person, statue, idol, crucifix, modern clothing, wristwatch, plastic, eyeglasses, power lines, vehicles, anachronistic architecture, extra fingers, deformed hands, cartoon, anime, neon, oversaturated, HDR halo, lens flare, modern hajj, modern tents",16:9,,,,
07,2 Riba root,1:00,40,"macro of dry cracked earth, no vegetation, cool pre-rain light, plate-like fissures lifting at the edges, cinematic still, anamorphic 35mm, shallow depth of field, warm low-angle desert light, airborne dust catching the sun, muted earth palette of ochre sand bone and oxidised brass with deep indigo shadow, soft natural film grain, high dynamic range, restrained painterly photographic realism, historically grounded 7th-century Hijaz, no text, no arabic script, no calligraphy, no lettering, no watermark","text, letters, arabic script, calligraphy, pseudo-arabic, numerals, signage, watermark, logo, human face, portrait, figure in foreground, prophet, religious figure, halo, glowing person, statue, idol, crucifix, modern clothing, wristwatch, plastic, eyeglasses, power lines, vehicles, anachronistic architecture, extra fingers, deformed hands, cartoon, anime, neon, oversaturated, HDR halo, lens flare",16:9,rain,"PAIR WITH 8 — same seed, same framing. The riba root made visible.",,
08,2 Riba root,1:12,50,"the same cracked earth after heavy rain, dark and saturated, the surface visibly swollen and lifting, first green shoots breaking through, water beading on the soil, cinematic still, anamorphic 35mm, shallow depth of field, warm low-angle desert light, airborne dust catching the sun, muted earth palette of ochre sand bone and oxidised brass with deep indigo shadow, soft natural film grain, high dynamic range, restrained painterly photographic realism, historically grounded 7th-century Hijaz, no text, no arabic script, no calligraphy, no lettering, no watermark","text, letters, arabic script, calligraphy, pseudo-arabic, numerals, signage, watermark, logo, human face, portrait, figure in foreground, prophet, religious figure, halo, glowing person, statue, idol, crucifix, modern clothing, wristwatch, plastic, eyeglasses, power lines, vehicles, anachronistic architecture, extra fingers, deformed hands, cartoon, anime, neon, oversaturated, HDR halo, lens flare",16:9,rain,PAIR WITH 7. Hold this one long.,,
09,2 Riba root,1:25,35,"a low green hill rising out of flat dry ground after rain, wet grass catching light, dramatic sky, cinematic still, anamorphic 35mm, shallow depth of field, warm low-angle desert light, airborne dust catching the sun, muted earth palette of ochre sand bone and oxidised brass with deep indigo shadow, soft natural film grain, high dynamic range, restrained painterly photographic realism, historically grounded 7th-century Hijaz, no text, no arabic script, no calligraphy, no lettering, no watermark","text, letters, arabic script, calligraphy, pseudo-arabic, numerals, signage, watermark, logo, human face, portrait, figure in foreground, prophet, religious figure, halo, glowing person, statue, idol, crucifix, modern clothing, wristwatch, plastic, eyeglasses, power lines, vehicles, anachronistic architecture, extra fingers, deformed hands, cartoon, anime, neon, oversaturated, HDR halo, lens flare",16:9,,,,
10,2 Riba root,1:40,25,"extreme macro of a seed head swelling on a stalk against a blown-out white sky, cinematic still, anamorphic 35mm, shallow depth of field, warm low-angle desert light, airborne dust catching the sun, muted earth palette of ochre sand bone and oxidised brass with deep indigo shadow, soft natural film grain, high dynamic range, restrained painterly photographic realism, historically grounded 7th-century Hijaz, no text, no arabic script, no calligraphy, no lettering, no watermark","text, letters, arabic script, calligraphy, pseudo-arabic, numerals, signage, watermark, logo, human face, portrait, figure in foreground, prophet, religious figure, halo, glowing person, statue, idol, crucifix, modern clothing, wristwatch, plastic, eyeglasses, power lines, vehicles, anachronistic architecture, extra fingers, deformed hands, cartoon, anime, neon, oversaturated, HDR halo, lens flare",16:9,,,,
