frame	tc_in	dur_s	act	label	seed_group	burn_in	move	prompt	full_prompt	negative_prompt
01	0:00.0	12.0	1	Hook		SOLD	slow push in	Empty locker in a youth changing room, door hanging open, one bare wooden peg inside, a plain unbranded training shirt folded on the bench below, cold light through a high frosted window, dust in the air, the rest of the room in shadow	Empty locker in a youth changing room, door hanging open, one bare wooden peg inside, a plain unbranded training shirt folded on the bench below, cold light through a high frosted window, dust in the air, the rest of the room in shadow. Photographic, cinematic still, 9:16 vertical, shallow depth of field, desaturated greys and greens, overcast natural light, one warm practical source, film grain, no text anywhere in frame.	facial features, eyes, mouth, nose, lips, face, portrait, club badge, crest, emblem, sponsor logo, kit manufacturer logo, competition logo, nameset, shirt number, recognisable footballer, celebrity likeness, identifiable stadium, broadcast overlay, scoreboard graphics, text, lettering, numbers, logos, brand names, watermark, signature, cartoon outlines, cel shading, flat vector, anime, 2D illustration, distorted hands, extra fingers, extra limbs, camera shake, blurry, low resolution, oversaturated, plastic sheen, uncanny, stock-photo smiles, crowd celebration, confetti
02	0:12.0	9.0	1	Ten years			slow push down corridor	A dim corridor lined with empty picture frames on both walls, glass in every one and nothing inside them, worn carpet, a single overhead light at the far end	A dim corridor lined with empty picture frames on both walls, glass in every one and nothing inside them, worn carpet, a single overhead light at the far end. Photographic, cinematic still, 9:16 vertical, shallow depth of field, desaturated greys and greens, overcast natural light, one warm practical source, film grain, no text anywhere in frame.	facial features, eyes, mouth, nose, lips, face, portrait, club badge, crest, emblem, sponsor logo, kit manufacturer logo, competition logo, nameset, shirt number, recognisable footballer, celebrity likeness, identifiable stadium, broadcast overlay, scoreboard graphics, text, lettering, numbers, logos, brand names, watermark, signature, cartoon outlines, cel shading, flat vector, anime, 2D illustration, distorted hands, extra fingers, extra limbs, camera shake, blurry, low resolution, oversaturated, plastic sheen, uncanny, stock-photo smiles, crowd celebration, confetti
03	0:21.0	9.0	1	The announcement		40 APPEARANCES	slow push in	An empty press conference table with a single microphone, a plain unmarked backdrop board behind it, one empty chair, hard flat lighting, nobody in the room	An empty press conference table with a single microphone, a plain unmarked backdrop board behind it, one empty chair, hard flat lighting, nobody in the room. Photographic, cinematic still, 9:16 vertical, shallow depth of field, desaturated greys and greens, overcast natural light, one warm practical source, film grain, no text anywhere in frame.	facial features, eyes, mouth, nose, lips, face, portrait, club badge, crest, emblem, sponsor logo, kit manufacturer logo, competition logo, nameset, shirt number, recognisable footballer, celebrity likeness, identifiable stadium, broadcast overlay, scoreboard graphics, text, lettering, numbers, logos, brand names, watermark, signature, cartoon outlines, cel shading, flat vector, anime, 2D illustration, distorted hands, extra fingers, extra limbs, camera shake, blurry, low resolution, oversaturated, plastic sheen, uncanny, stock-photo smiles, crowd celebration, confetti
04	0:30.0	8.0	1	The point			locked off	A plain painted wall with a clean rectangle of lighter paint where something hung for years and has been taken down, a single screw left in the plaster, side light raking across the surface	A plain painted wall with a clean rectangle of lighter paint where something hung for years and has been taken down, a single screw left in the plaster, side light raking across the surface. Photographic, cinematic still, 9:16 vertical, shallow depth of field, desaturated greys and greens, overcast natural light, one warm practical source, film grain, no text anywhere in frame.	facial features, eyes, mouth, nose, lips, face, portrait, club badge, crest, emblem, sponsor logo, kit manufacturer logo, competition logo, nameset, shirt number, recognisable footballer, celebrity likeness, identifiable stadium, broadcast overlay, scoreboard graphics, text, lettering, numbers, logos, brand names, watermark, signature, cartoon outlines, cel shading, flat vector, anime, 2D illustration, distorted hands, extra fingers, extra limbs, camera shake, blurry, low resolution, oversaturated, plastic sheen, uncanny, stock-photo smiles, crowd celebration, confetti
05	0:38.0	10.0	1	Written down	LEDGER ANCHOR		very slow push in	A heavy closed ledger on a desk in a dim office, worn cloth binding, a fountain pen resting on top, low warm lamp from the left, the rest of the room unlit	A heavy closed ledger on a desk in a dim office, worn cloth binding, a fountain pen resting on top, low warm lamp from the left, the rest of the room unlit. Photographic, cinematic still, 9:16 vertical, shallow depth of field, desaturated greys and greens, overcast natural light, one warm practical source, film grain, no text anywhere in frame.	facial features, eyes, mouth, nose, lips, face, portrait, club badge, crest, emblem, sponsor logo, kit manufacturer logo, competition logo, nameset, shirt number, recognisable footballer, celebrity likeness, identifiable stadium, broadcast overlay, scoreboard graphics, text, lettering, numbers, logos, brand names, watermark, signature, cartoon outlines, cel shading, flat vector, anime, 2D illustration, distorted hands, extra fingers, extra limbs, camera shake, blurry, low resolution, oversaturated, plastic sheen, uncanny, stock-photo smiles, crowd celebration, confetti
06	0:48.0	9.0	2	The column	LEDGER		slow drift left to right	An open ledger, thick ruled columns filling the frame and completely blank, shallow focus with the far page falling away, warm lamp from the left	An open ledger, thick ruled columns filling the frame and completely blank, shallow focus with the far page falling away, warm lamp from the left. Photographic, cinematic still, 9:16 vertical, shallow depth of field, desaturated greys and greens, overcast natural light, one warm practical source, film grain, no text anywhere in frame.	facial features, eyes, mouth, nose, lips, face, portrait, club badge, crest, emblem, sponsor logo, kit manufacturer logo, competition logo, nameset, shirt number, recognisable footballer, celebrity likeness, identifiable stadium, broadcast overlay, scoreboard graphics, text, lettering, numbers, logos, brand names, watermark, signature, cartoon outlines, cel shading, flat vector, anime, 2D illustration, distorted hands, extra fingers, extra limbs, camera shake, blurry, low resolution, oversaturated, plastic sheen, uncanny, stock-photo smiles, crowd celebration, confetti
07	0:57.0	11.0	2	The fee		SIGNED £50,000,000	slow rise	A single thick banded stack of plain unmarked paper alone on a dark desk, lit hard from one side, long shadow, nothing else on the surface	A single thick banded stack of plain unmarked paper alone on a dark desk, lit hard from one side, long shadow, nothing else on the surface. Photographic, cinematic still, 9:16 vertical, shallow depth of field, desaturated greys and greens, overcast natural light, one warm practical source, film grain, no text anywhere in frame.	facial features, eyes, mouth, nose, lips, face, portrait, club badge, crest, emblem, sponsor logo, kit manufacturer logo, competition logo, nameset, shirt number, recognisable footballer, celebrity likeness, identifiable stadium, broadcast overlay, scoreboard graphics, text, lettering, numbers, logos, brand names, watermark, signature, cartoon outlines, cel shading, flat vector, anime, 2D illustration, distorted hands, extra fingers, extra limbs, camera shake, blurry, low resolution, oversaturated, plastic sheen, uncanny, stock-photo smiles, crowd celebration, confetti
08	1:08.0	10.0	2	Amortisation	ROOM ANCHOR	£50M / 5 YEARS = £10M PER YEAR	locked off	Five identical squares of morning light thrown across a dark wooden floor by a window frame, evenly spaced, each slightly weaker than the last as they recede into the room, dust turning in the beams	Five identical squares of morning light thrown across a dark wooden floor by a window frame, evenly spaced, each slightly weaker than the last as they recede into the room, dust turning in the beams. Photographic, cinematic still, 9:16 vertical, shallow depth of field, desaturated greys and greens, overcast natural light, one warm practical source, film grain, no text anywhere in frame.	facial features, eyes, mouth, nose, lips, face, portrait, club badge, crest, emblem, sponsor logo, kit manufacturer logo, competition logo, nameset, shirt number, recognisable footballer, celebrity likeness, identifiable stadium, broadcast overlay, scoreboard graphics, text, lettering, numbers, logos, brand names, watermark, signature, cartoon outlines, cel shading, flat vector, anime, 2D illustration, distorted hands, extra fingers, extra limbs, camera shake, blurry, low resolution, oversaturated, plastic sheen, uncanny, stock-photo smiles, crowd celebration, confetti
09	1:18.0	8.0	2	The word		AMORTISATION	very slow push in	Extreme macro of a fountain pen nib resting on paper, a single bead of ink at the tip, paper fibres visible, cold light, everything beyond the nib out of focus	Extreme macro of a fountain pen nib resting on paper, a single bead of ink at the tip, paper fibres visible, cold light, everything beyond the nib out of focus. Photographic, cinematic still, 9:16 vertical, shallow depth of field, desaturated greys and greens, overcast natural light, one warm practical source, film grain, no text anywhere in frame.	facial features, eyes, mouth, nose, lips, face, portrait, club badge, crest, emblem, sponsor logo, kit manufacturer logo, competition logo, nameset, shirt number, recognisable footballer, celebrity likeness, identifiable stadium, broadcast overlay, scoreboard graphics, text, lettering, numbers, logos, brand names, watermark, signature, cartoon outlines, cel shading, flat vector, anime, 2D illustration, distorted hands, extra fingers, extra limbs, camera shake, blurry, low resolution, oversaturated, plastic sheen, uncanny, stock-photo smiles, crowd celebration, confetti
10	1:26.0	11.0	2	Book value	ROOM	YEAR 1 -£10M · YEAR 2 -£10M	slow push in	Squares of morning light across a dark wooden floor from a window frame, the two nearest squares gone dark leaving three lit, same grain and light direction, dust in the beams	Squares of morning light across a dark wooden floor from a window frame, the two nearest squares gone dark leaving three lit, same grain and light direction, dust in the beams. Photographic, cinematic still, 9:16 vertical, shallow depth of field, desaturated greys and greens, overcast natural light, one warm practical source, film grain, no text anywhere in frame.	facial features, eyes, mouth, nose, lips, face, portrait, club badge, crest, emblem, sponsor logo, kit manufacturer logo, competition logo, nameset, shirt number, recognisable footballer, celebrity likeness, identifiable stadium, broadcast overlay, scoreboard graphics, text, lettering, numbers, logos, brand names, watermark, signature, cartoon outlines, cel shading, flat vector, anime, 2D illustration, distorted hands, extra fingers, extra limbs, camera shake, blurry, low resolution, oversaturated, plastic sheen, uncanny, stock-photo smiles, crowd celebration, confetti
