frame	tc_in	dur_s	act	label	seed_group	burn_in	move	prompt
01	0:00.0	12.0	1	Hook		SOLD	slow push in	Empty locker in a youth changing room, door hanging open, one bare wooden peg inside, a plain unbranded training shirt folded on the bench below, cold light through a high frosted window, dust in the air, the rest of the room in shadow
02	0:12.0	9.0	1	Ten years			slow push down corridor	A dim corridor lined with empty picture frames on both walls, glass in every one and nothing inside them, worn carpet, a single overhead light at the far end
03	0:21.0	9.0	1	The announcement		40 APPEARANCES	slow push in	An empty press conference table with a single microphone, a plain unmarked backdrop board behind it, one empty chair, hard flat lighting, nobody in the room
04	0:30.0	8.0	1	The point			locked off	A plain painted wall with a clean rectangle of lighter paint where something hung for years and has been taken down, a single screw left in the plaster, side light raking across the surface
05	0:38.0	10.0	1	Written down	LEDGER ANCHOR		very slow push in	A heavy closed ledger on a desk in a dim office, worn cloth binding, a fountain pen resting on top, low warm lamp from the left, the rest of the room unlit
06	0:48.0	9.0	2	The column	LEDGER		slow drift left to right	An open ledger, thick ruled columns filling the frame and completely blank, shallow focus with the far page falling away, warm lamp from the left
07	0:57.0	11.0	2	The fee		SIGNED £50,000,000	slow rise	A single thick banded stack of plain unmarked paper alone on a dark desk, lit hard from one side, long shadow, nothing else on the surface
08	1:08.0	10.0	2	Amortisation	ROOM ANCHOR	£50M / 5 YEARS = £10M PER YEAR	locked off	Five identical squares of morning light thrown across a dark wooden floor by a window frame, evenly spaced, each slightly weaker than the last as they recede into the room, dust turning in the beams
09	1:18.0	8.0	2	The word		AMORTISATION	very slow push in	Extreme macro of a fountain pen nib resting on paper, a single bead of ink at the tip, paper fibres visible, cold light, everything beyond the nib out of focus
10	1:26.0	11.0	2	Book value	ROOM	YEAR 1 -£10M · YEAR 2 -£10M	slow push in	Squares of morning light across a dark wooden floor from a window frame, the two nearest squares gone dark leaving three lit, same grain and light direction, dust in the beams
11	1:37.0	8.0	2	What is left	ROOM	BOOK VALUE £30M	slow pull back	Wide of a dark wooden floor with three squares of window light remaining and the unlit half of the room dominant in frame, a single worn unbranded boot at the edge of the nearest square
12	1:45.0	10.0	2	Eight-year trick	ROOM	£50M / 8 YEARS = £6.25M PER YEAR	slow drift back along the row	Eight narrow squares of window light stretched across a dark wooden floor, fainter and running much further back into the darkness than a short row would, same window and hour
13	1:55.0	9.0	2	The cap	ROOM	CAPPED AT 5 YEARS	locked off	A window blind lowered halfway, cutting the light on the floor back to a short block, hard edge where the shadow begins, dark wooden floor
14	2:04.0	9.0	2	The sale	DESK ANCHOR	SOLD £40M	slow rise	Two stacks of plain unmarked paper on a dark desk, one slightly taller than the other, side by side, hard side light throwing a long shadow, clean empty space above both
15	2:13.0	9.0	2	The gap	DESK	£40M - £30M = £10M PROFIT	very slow push in on the gap	Close on the gap between the tops of two stacks of plain paper, the difference in height filling the centre of frame, deep shadow behind, everything else out of focus
16	2:22.0	9.0	3	The kid	GROUND ANCHOR	ACADEMY · 10 YEARS	slow lateral drift left to right	Wide of an empty academy training pitch at first light, grass heavy with dew, faint worn tracks along the touchline, small portable goals at the far end, low mist, a line of unlit floodlight pylons against flat grey sky, no people, plain white lines only
17	2:31.0	10.0	3	No fee		COST TO SIGN £0	slow push in	A plain unbranded kit bag on a changing room bench, zipped shut, worn at the corners, a blank paper luggage tag tied to the handle with nothing written on it, cold window light from above, bench and floor in shadow
18	2:41.0	10.0	3	Nothing to write down			slow push in to fill frame	A completely blank sheet of paper filling the frame, no ruling and nothing written, faint fibre texture, cold light
19	2:51.0	9.0	3	Zero		BOOK VALUE £0	very slow push toward opening	An open floor safe, entirely empty, interior lit by a single cold source, heavy door swung back, thick steel edge in the foreground
20	3:00.0	10.0	4	Every pound	DESK		slow rise	A single stack of plain paper standing alone on a dark desk with nothing beside it, hard side light, long shadow
21	3:10.0	6.0	4	THE COLLISION	RAIL ANCHOR	ACADEMY  £40M -> £40M	locked off, holds through beat 22	Two unbranded football shirts hanging side by side on a plain rail against a dark wall, identical in cut and colour, lit evenly and straight on, symmetrical, generous empty wall either side
22	3:16.0	5.0	4	THE COLLISION completes	RAIL REUSE	SIGNING  £40M -> £10M  (21 stays on screen)	locked off	REUSE THE FRAME 21 RENDER - do not generate. Same two shirts held while the second number burns in beneath the first
23	3:21.0	10.0	4	Same player			extremely slow rotation	Overhead top-down of a single sheet of ruled paper on a dark desk, one horizontal line drawn across it in ink, otherwise empty, hard raking light from the left
24	3:31.0	7.0	4	Four times	DESK	4x	slow drift along the four	Four identical stacks of plain paper in a row beside one lone stack of the same height on a dark desk, hard side light, long parallel shadows
25	3:38.0	8.0	4	Not a football decision	RAIL		locked off	A plain rail against a dark wall with one unbranded football shirt hanging and one bare hanger beside it where a second shirt was, even frontal light
26	3:46.0	10.0	5	The accounts			slow push in on the proud folder	A filing cabinet drawer pulled fully open, tight rows of plain unlabelled folders, one standing slightly proud of the rest, cold overhead light
