card,in,in_s,section,frame_under,scene,head,arabic,sub
01,0:06,6.3,1 · NAMED AFTER THUNDER,001_scene-01_a-vast-bank-of-storm.jpg,01,AR-RAʿD · THE THUNDER,الرَّعْد,Sūrah 13 — named after the loudest thing in the sky
02,0:34,34.26,1 · NAMED AFTER THUNDER,006_scene-06_a-woman-in-a-soft.jpg,06,THAT IS THE ROOM,,"Weather, voltage, noise — a sky nobody on the ground controls"
03,1:40,100.7,2 · ṬUMAʾNĪNAH,011_scene-10b_low-angle-close-study-of.jpg,10B,GROUND THAT HAS SETTLED,مُطْمَئِنّ مِنَ الأَرْض,Land that lies low and level — ground that has finished moving
04,2:00,120.38,2 · ṬUMAʾNĪNAH,012_scene-11_a-plain-glass-of-cloudy.jpg,11,SEDIMENT GOING DOWN,,Something disturbed coming to rest — not something never disturbed
05,3:03,183.1,2 · ṬUMAʾNĪNAH,024_scene-20b_extreme-close-up-detail-of.jpg,20B,WHAT THE SPINE DOES,,Not a feeling — the half-second where every joint stops moving
06,3:25,205.45,3 · WHAT WE ARE WALKING TOWARD,015_scene-13b_close-up-on-the-intricate.jpg,13B,WHERE WE ARE GOING,,Where the āyah sits · who it describes · what dhikr means · the name at the end
07,3:52,232.73,3 · WHAT WE ARE WALKING TOWARD,017_scene-15_a-single-sealed-envelope-of.jpg,15,IT TURNS THE ĀYAH INSIDE OUT,,A place near the end of the Qurʾān where the same root comes back
08,4:41,281.49,4 · THE SENTENCE NOBODY QUOTES,029_scene-25_an-open-hand-bound-manuscript.jpg,25,WHOEVER TURNS BACK,مَنْ أَنَابَ,The sentence does not begin at āyah 28
09,4:59,299.8,4 · THE SENTENCE NOBODY QUOTES,030_scene-25b_close-crop-focusing-strictly-on.jpg,25B,NOT A STANDALONE PROMISE,,The back half of a description — answering a taunt about signs
10,5:29,329.94,4 · THE SENTENCE NOBODY QUOTES,033_scene-28_a-cross-section-view-of.jpg,28,HEARTS SETTLE,أَلَا بِذِكْرِ اللَّهِ تَطْمَئِنُّ الْقُلُوبُ,Ar-Raʿd 28 — not: hearts will feel nice
11,6:14,374.97,5 · THE ROOT ACROSS THE QURʾĀN,046_scene-39_two-identical-smooth-stones-side.jpg,39,MORALLY NEUTRAL,,A heart coming to rest — the whole question is what it rests on
12,6:26,386.93,5 · THE ROOT ACROSS THE QURʾĀN,046_scene-39_two-identical-smooth-stones-side.jpg,39,NOT A PROMISE THAT YOU WILL FEEL CALM,,It says where the settling is available — in the same breath as a warning
13,6:45,405.27,5 · THE ROOT ACROSS THE QURʾĀN,048_scene-40_two-open-manuscripts-lying-side.jpg,40,A REAL DISAGREEMENT,,Worth hearing rather than having it smoothed over
14,7:18,438.29,5 · THE ROOT ACROSS THE QURʾĀN,050_scene-42_two-separate-footpaths-crossing-a.jpg,42,BOTH READINGS LAND HERE,,"On either reading, the settling is attached to something"
15,7:42,462.85,5 · THE ROOT ACROSS THE QURʾĀN,051_scene-43_a-simple-mechanical-balance-or.jpg,43,"THE MECHANISM, NOT THE MOOD",بِذِكْرِ اللَّهِ,"Take the second half away and you keep the mood, lose the mechanism"
16,8:53,533.3,7 · IT IS SENT DOWN,056_scene-47b_close-up-macro-inside-the.jpg,47B,DHIKR,ذِكْر,"dhāl · kāf · rāʾ — mentioning, not only remembering"
17,9:23,563.96,7 · IT IS SENT DOWN,059_scene-50_concentric-rings-spreading-outward-across.jpg,50,AL-DHIKR,إِنَّا نَحْنُ نَزَّلْنَا الذِّكْرَ,Al-Ḥijr 9 — hearts settle by the thing you can open and read
18,9:57,597.69,10 · SETTLED IS NOT NUMB,075_scene-62_a-lit-oil-lamp-burning.jpg,62,SETTLED IS NOT NUMB,,"Ṭumaʾnīnah is not forced numbness, and the Qurʾān proves it"
19,11:04,664.51,10 · SETTLED IS NOT NUMB,080_scene-66_a-small-boat-moored-to.jpg,66,"BOUND, NOT FROZEN",رَبَطْنَا عَلَىٰ قَلْبِهَا,Al-Qaṣaṣ 10 — Mūsā's mother still felt every bit of it
20,11:31,691.77,10 · SETTLED IS NOT NUMB,081_scene-67_a-person-in-a-charcoal.jpg,67,SETTLING IS NOT STOPPING,,It is what lets you move on purpose instead of being moved
21,12:07,727.84,11 · THE SILT,084_scene-70_a-plain-glass-of-river.jpg,70,REACHING INTO THE GLASS,,Every intervention you can make is another disturbance
22,12:31,751.66,11 · THE SILT,087_scene-72_a-plain-glass-of-river.jpg,72,THE SILT DOES NOT LEAVE,,Nothing has been removed and nothing has been fixed — it settled
23,12:50,770.8,11 · THE SILT,088_scene-72b_close-macro-view-focusing-strictly.jpg,72B,"ṬUMAʾNĪNAH, PRECISELY",طُمَأْنِينَة,Not the absence of the heavy thing — the heavy thing at rest
24,13:08,788.86,11 · THE SILT,089_scene-73_a-plain-glass-of-clear.jpg,73,YOU CAN SEE THROUGH THE WATER AGAIN,,Your grief is not removed from the glass — that was never the offer
25,13:36,816.83,12 · THE CAVE,092_scene-76_the-view-from-deep-inside.jpg,76,DO NOT GRIEVE,لَا تَحْزَنْ إِنَّ اللَّهَ مَعَنَا,"At-Tawbah 40 — Mount Thawr, pursuers at the entrance"
26,13:48,828.03,12 · THE CAVE,096_scene-79_the-view-from-deep-inside.jpg,79,THE SETTLING CAME FIRST,فَأَنزَلَ اللَّهُ سَكِينَتَهُ عَلَيْهِ,Nothing outside the cave improved. It arrived before the rescue did
27,14:14,854.45,12 · THE CAVE,096_scene-79_the-view-from-deep-inside.jpg,79,SENT DOWN INTO THE SITUATION,,Not applied to it from outside — the settling arrived before the rescue
28,14:36,876.15,13 · ON A TUESDAY,100_scene-82_an-ordinary-kitchen-table-at.jpg,82,ON AN ORDINARY BAD DAY,,What this actually looks like when you are in it
29,15:12,912.33,13 · ON A TUESDAY,102_scene-84_a-dark-bedroom-seen-from.jpg,84,SAY SOMETHING,,"Not: think about Allah harder. Out loud, under your breath, whatever you can manage"
30,15:38,938.97,13 · ON A TUESDAY,104_scene-86_a-plain-reed-prayer-mat.jpg,86,ṬUMAʾNĪNAH IN SUJŪD,سُجُود,The one moment in twenty-four hours you are required to stop moving
31,15:57,957.27,13 · ON A TUESDAY,107_scene-88_a-wide-shallow-clay-bowl.jpg,88,TOLD TO STOP RUSHING,,Not told to feel more — and it was not prayer until he did
32,16:08,968.85,13 · ON A TUESDAY,107_scene-88_a-wide-shallow-clay-bowl.jpg,88,NOT A STOP SIGN,,Sit with them. Say less than you want to say
33,16:27,987.57,13 · ON A TUESDAY,107_scene-88_a-wide-shallow-clay-bowl.jpg,88,USED AGAINST THEM,,An āyah used to shorten somebody's grief — that is not what it says
34,16:54,1014.49,14 · CLOSE,110_scene-91_a-vast-bank-of-storm.jpg,91,LET IT BE THE SIZE IT ACTUALLY IS,,"A description of how a heart is built, not a promise that you will feel peaceful"
35,17:40,1060.03,14 · CLOSE,113_scene-93b_close-up-on-the-window.jpg,93B,O SETTLED SOUL,يَا أَيَّتُهَا النَّفْسُ الْمُطْمَئِنَّةُ,Al-Fajr 27 — not something your heart is doing any more
36,18:03,1083.11,SŪRAH AR-RAʿD · ṬUMAʾNĪNAH,115_scene-95_a-bare-horizon-at-sunrise.jpg,95,MAY ALLAH MAKE YOURS ONE OF THE SETTLED ONES,,Thank you for spending this time in Sūrah Ar-Raʿd
